AC (G)   —   Priority Agenda Review   |   DC Ludhiana (MASTER),,,,,,,,,,,,,,,,,
Sr,Priority Agenda,KPI / Metric,Concerned Officer / Unit,"Target /
Total","Flag
Bar","Last
Value","Current
Value",Change,"Achieved
%",Status,Auto-Flag,"Bottom
Performer",Updated By,"Update
Date",Remarks / Context / Pending Action,Rule,Key
,,% resolved — PSPCL XEN Ludhiana Central,%,0.8,0.8,,0.5,,0.625,In Progress,🔴 LOW,Auto,Gov Cell (report),05-06-2026,5 of 10 grievances resolved; 4 stale (4+ days no update). Actor to be called for review.,MIN,ACG-019
2.0,Dormant Accounts & Financial Bills,📊 Total dormant funds to reconcile,,,,,113.5,,,,,,,,"Rs 1.13 Cr across LAC 32L, DC Office 36L, ADC-G 28L, DEO 13L, Tehsil West 4.5L. Welfare Society file with DC.",,
,,Total dormant funds to reconcile (Rs L),Rs lakh,,,,113.5,,,In Progress,,Auto,Gov Cell (report),05-06-2026,Welfare Society file put up to DC,,ACG-020
,,LAC — reconciled? (Rs32L),Y/N,,,,,,,In Progress,,Auto,,,Welfare Society creation in progress,,ACG-021
,,Tehsil West — reconciled? (Rs4.5L),Y/N,,,,,,,In Progress,,Auto,,,Welfare Society creation in progress,,ACG-022
,,DC Office — reconciled? (Rs36L),Y/N,,,,,,,In Progress,,Auto,,,Welfare Society creation in progress,,ACG-023
,,ADC G — reconciled? (Rs28L),Y/N,,,,,,,In Progress,,Auto,,,Welfare Society creation in progress,,ACG-024
,,DEO — reconciled? (Rs13L),Y/N,,,,,,,In Progress,,Auto,,,Welfare Society creation in progress,,ACG-025
▣  PRIORITY TASKS  —  qualitative / assigned tasks,,,,,,,,,,,,,,,,,
3.0,Red Cross FD,FDs merged / interest mode,status,,,,,,,On Track,,Auto,,,6 FDs merged to 2; monthly interest from June,,ACG-026
4.0,YnV Bills — Phase I & II,SAARC Knit & PP mismatch — meeting held? (Y/N),Y/N,,,,,,,In Progress,,Auto,,,Phase 1 complete; Phase 2 mtg 5/6 Jun,,ACG-027
5.0,Court — Raikot Judicial Complex,Letter to D&S Judge — reply received? (Y/N),Y/N,,,,,,,Pending/Blocked,,Auto,,,Rs7 Cr for judicial infra land,,ACG-028
6.0,Building Committee,Tree felling (multi-level parking) — application filed? (Y/N),Y/N,,,,,,,In Progress,,Auto,,,147 trees; application filed 17/05,,ACG-029
7.0,Camera Court Complex — Smart City,Installation % complete,%,1.0,1.0,,,,,In Progress,,Auto,,,Smart City funds status pending,MIN,ACG-030
